Group Code,Customer Account ID,Customer Name,Line of Business,Line of Coverage,Premium Due Date,Premium Amount,Rate,Payment Amount,Payment Category Name,Marketer Name,Product Name,"* Paid Family Medical Leave  PFML  compensation is identified as Paid Medical Leave  PML  in some states.


Customer Confidential     This document is the property of Principal. It may not be shared without explicit permission of Principal."
00366-00246,1195180-10001,Oasis Landscapes,GROUP,VOL DENTAL,05/01/2025,245.59,10%,24.56,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,VISION,05/01/2025,47.37,10%,4.74,FIRST YEAR,J C SNELLINGS,
00366-00246,1198537-10001,SILVER STUDIO AR,GROUP,VOL TRM LIFE,05/01/2025,188.70,15%,28.31,FIRST YEAR,J C SNELLINGS,
00366-00246,1198537-10001,SILVER STUDIO AR,GROUP,VOL DENTAL,05/01/2025,635.79,10%,63.58,FIRST YEAR,J C SNELLINGS,
00366-00246,1198537-10001,SILVER STUDIO AR,GROUP,VISION,05/01/2025,39.14,10%,3.91,FIRST YEAR,J C SNELLINGS,
00366-00246,1199783-10001,Phoenix Drywall,GROUP,VOL TRM LIFE,05/01/2025,75.86,15%,11.38,FIRST YEAR,J C SNELLINGS,
00366-00246,1199783-10001,Phoenix Drywall,GROUP,DENTAL,05/01/2025,456.93,10%,45.70,FIRST YEAR,J C SNELLINGS,
00366-00246,1199783-10001,Phoenix Drywall,GROUP,VISION,05/01/2025,95.53,10%,9.56,FIRST YEAR,J C SNELLINGS,
00366-00246,1201415-10001,Atlanta Wheels a,GROUP,LTD,05/01/2025,983.27,15%,147.49,FIRST YEAR,J C SNELLINGS,
00366-00246,1201415-10001,Atlanta Wheels a,GROUP,STD,05/01/2025,670.43,15%,100.56,FIRST YEAR,J C SNELLINGS,
00366-00246,1201415-10001,Atlanta Wheels a,GROUP,VOL TRM LIFE,05/01/2025,261.53,15%,39.23,FIRST YEAR,J C SNELLINGS,
00366-00246,1201415-10001,Atlanta Wheels a,GROUP,LIFE,05/01/2025,238.38,15%,35.76,FIRST YEAR,J C SNELLINGS,
00366-00246,1201415-10001,Atlanta Wheels a,GROUP,VOL DENTAL,05/01/2025,1070.97,10%,107.10,FIRST YEAR,J C SNELLINGS,
00366-00246,1201415-10001,Atlanta Wheels a,GROUP,VISION,05/01/2025,164.41,10%,16.44,FIRST YEAR,J C SNELLINGS,
00366-00246,1025442-10001,HIGHGROVE PARTNE,GROUP,LTD,05/01/2025,2146.60,10%,214.66,RENEWAL,J C SNELLINGS,
00366-00246,1040970-10001,MITCHELL METALS,GROUP,ACC,05/01/2025,160.02,20%,32.00,RENEWAL,J C SNELLINGS,
00366-00246,1040970-10001,MITCHELL METALS,GROUP,VCI,05/01/2025,60.49,20%,12.10,RENEWAL,J C SNELLINGS,
00366-00246,1040970-10001,MITCHELL METALS,GROUP,STD,05/01/2025,655.10,15%,98.27,RENEWAL,J C SNELLINGS,
00366-00246,1040970-10001,MITCHELL METALS,GROUP,VOL TRM LIFE,05/01/2025,151.12,15%,22.67,RENEWAL,J C SNELLINGS,
